estado,grupo,producto_normalizado,match_score,nb_categoria,nb_codigo,nb_id_fabricante,nb_nombre,nb_marca,nb_brand_key,nb_precio_ars,nb_stock,cg_fuente,cg_cate,cg_nombre,cg_marca,cg_precio_ars,cg_disponible,cg_url,diferencia_ars,diferencia_pct
repetido,mothers,mothers|ASUS|AM5|TUF|A620AM,100.0,MOTHER ASUS,122515,TUF GAMING A620AM-PLUS WIFI,MOTHER ASUS (AM5) TUF GAMING A620AM-PLUS WIFI,ASUS,ASUS,188139.34,6.0,compragamer_mothers_amd,26.0,Mother ASUS TUF GAMING A620AM-PLUS WIFI AM5 DDR5,Asus,209250.0,True,https://compragamer.com/producto/Mother_ASUS_TUF_GAMING_A620AM_PLUS_WIFI_AM5_DDR5_18988?cate=26,21110.660000000003,11.220757976508265
repetido,mothers,mothers|ASUS|B760M||LGA1700|PRIME|B760M,79.0,MOTHER ASUS,119899,PRIME B760M-A,MOTHER ASUS (LGA1700) PRIME B760M-A,ASUS,ASUS,164842.77,4.0,compragamer_mothers_intel,49.0,Mother ASUS PRIME B860M-K LGA1851 DDR5,Asus,185800.0,True,https://compragamer.com/producto/Mother_ASUS_PRIME_B860M_K_LGA1851_DDR5_18655?cate=49,20957.23000000001,12.71346629275886
repetido,memorias,memorias|32GB|DDR5|6000|CL36,44.0,MEMORIAS,121676,VEU532G6036,MEMORIA PATRIOT DDR5 VIPER ELITE 5 ULTRA DDR5 32GB CL36 6000MTS BLACK HS PE001179,PATRIOT                                           ,PATRIOT,812529.17,6.0,compragamer_memorias,15.0,Memoria Corsair DDR5 32GB (2x16GB) 6000MHz Vengeance CL36 Black Intel XMP 3.0 / AMD EXPO,Corsair,827210.0,True,https://compragamer.com/producto/Memoria_Corsair_DDR5_32GB_2x16GB_6000MHz_Vengeance_CL36_Black_Intel_XMP_3_0_AMD_EXPO_17050?cate=15,14680.829999999958,1.8068065174816996
repetido,mothers,mothers|ASUS|AM5|PRIME|B650EM,90.0,MOTHER ASUS,121302,PRIME B650EM-A WIFI,MOTHER ASUS (AM5) PRIME B650EM-A WIFI,ASUS,ASUS,210818.35,10.0,compragamer_mothers_amd,26.0,Mother ASUS PRIME B850M-K AM5 DDR5,Asus,223350.0,True,https://compragamer.com/producto/Mother_ASUS_PRIME_B850M_K_AM5_DDR5_18987?cate=26,12531.649999999994,5.944288056518796
repetido,mothers,mothers|ASUS|A620M|AM5|AM5|PRIME|A620M,100.0,MOTHER ASUS,118982,PRIME A620M-K,MOTHER ASUS (AM5) PRIME A620M-K,ASUS,ASUS,113927.27,10.0,compragamer_mothers_amd,26.0,Mother ASUS PRIME A620M-K AM5 DDR5,Asus,123100.0,True,https://compragamer.com/producto/Mother_ASUS_PRIME_A620M_K_AM5_DDR5_15423?cate=26,9172.729999999996,8.051391032190972
repetido,memorias,memorias|8GB|DDR4|3200|CL16,53.0,MEMORIAS,122623,NTSHD4P32SP-08K,MEMORIA NETAC SHADOW III DDR4 3200 8GB C16 BLACK,NETAC ,NETAC,119949.89,10.0,compragamer_memorias,15.0,Memoria Team DDR4 8GB 3200MHz T-Force Vulcan Z Grey CL16,Team,127900.0,True,https://compragamer.com/producto/Memoria_Team_DDR4_8GB_3200MHz_T_Force_Vulcan_Z_Grey_CL16_13905?cate=15,7950.110000000001,6.627859350267016
repetido,mothers,mothers|ASUS|A520M|AM4|AM4|PRIME|A520M|CSM,100.0,MOTHER ASUS,119263,PRIME A520M-K/CSM,MOTHER ASUS (AM4) PRIME A520M-K CSM,ASUS,ASUS,79026.02,10.0,compragamer_mothers_amd,26.0,Mother ASUS PRIME A520M-K/CSM DDR4 AM4,Asus,86900.0,True,https://compragamer.com/producto/Mother_ASUS_PRIME_A520M_K_CSM_DDR4_AM4_16252?cate=26,7873.979999999996,9.96378154941878
repetido,mothers,mothers|ASUS|A520M|AM4|AM4|PRIME|A520M,100.0,MOTHER ASUS,106820,PRIME A520M-K,MOTHER ASUS (AM4) PRIME A520M-K,ASUS,ASUS,77474.07,10.0,compragamer_mothers_amd,26.0,Mother ASUS PRIME A520M-K DDR4 AM4,Asus,84800.0,True,https://compragamer.com/producto/Mother_ASUS_PRIME_A520M_K_DDR4_AM4_10578?cate=26,7325.929999999993,9.45597669000737
repetido,discos_ssd,discos_ssd|WD|500GB|500GB|GREEN|SN350,76.0,DISCOS SSD,118363,WDS500G2G0C,DISCO SSD M.2 500GB WD GREEN SN350 NVME,WD                                                ,WD,138035.41,8.0,compragamer_ssd,81.0,Disco Solido SSD M.2 WD 500GB Green SN350 2400Mb/s PCI-e Gen 3,Western Digital,143040.0,True,https://compragamer.com/producto/Disco_Solido_SSD_M_2_WD_500GB_Green_SN350_2400Mb_s_PCI_e_Gen_3_15038?cate=81,5004.5899999999965,3.6255841888686366
repetido,mothers,mothers|ASROCK|B550M|AM4|AM4|B550M|PHANTOM,100.0,MOTHER ASROCK,118814,B550M PHANTOM GAMING 4,MOTHER ASROCK (AM4) B550M PHANTOM GAMING 4,ASROCK,ASROCK,136315.29,10.0,compragamer_mothers_amd,26.0,Mother Asrock B550M Phantom Gaming 4 AM4,Asrock,140900.0,True,https://compragamer.com/producto/Mother_Asrock_B550M_Phantom_Gaming_4_AM4_12178?cate=26,4584.709999999992,3.3633130956916073
